airport,lat,lon
SHX,662.69230556,-159.56922222
2C7,564.37108333,-161.22397222
SMU,661.81128056,-147.50905139
SXP,562.52041639,-164.84764583
SYA,252.71225833,174.11358889
SHH,66.24958333,-166.08936111
SHG,766.88808333,-157.16241667
SIT,57.04683436,-135.36106869
SGY,359.46020000,-135.31685972
SKW,961.96611250,-151.19539028
DDT,362.72461194,-143.92051444
SLQ,561.70050944,-157.16584972
SXQ,60.47513889,-151.03963889
WSN,558.70208333,-157.00258333
SVW,61.09711389,-155.57480833
WBB,563.51596917,-162.27800667
SVS,66.01716667,-149.05436111
SRV,561.78975000,-156.58852778
UMM,63.33104014,-149.12883611
TCT,162.99294444,-156.02972222
TLJ,62.89491528,-155.97801250
TKA,862.32137194,-150.09271833
TSG,63.37406381,-143.32898975
TAL,65.17438889,-152.10811111
7KA,860.87238889,-146.69116667
8KA,662.29328694,-153.36195306
ATM,60.86777778,-157.39194444
Z14,262.06478861,-146.46052194
2K5,63.37898472,-153.28421528
TER,165.24038889,-166.33938889
3T4,863.12469444,-142.51855556
K55,61.17727028,-145.68843389
TNC,65.56403333,-167.92245833
TOG,159.05355556,-160.39677778
6K8,863.32951431,-142.95368403
OOK,860.54133639,-165.08718389
9AK,64.02565972,-148.52233750
TLT,861.08772778,-160.92335278
A61,860.35110833,-162.65461111
4KA,560.56952778,-165.24627778
A63,159.07452500,-160.27504167
TYE,161.07666250,-151.13807028
9A8,557.52342500,-157.39599444
UMT,69.37111267,-152.13498267
UNK,563.88850000,-160.79911111
DUT,653.89894444,-166.54502778
UTO,65.99277222,-153.70348889
VDZ,861.13422194,-146.24476806
VEE,567.00867500,-146.36635833
AWI,970.63800000,-159.99475000
IWK,165.62255556,-168.09497222
IYS,861.57198614,-149.53955669
WMO,64.68919444,-163.41275000
IEM,260.77716944,-148.71965278
UUO,661.75418889,-150.05173889
WSM,767.40510694,-150.12087778
WRG,756.48433333,-132.36983333
3AK,559.16433333,-138.48880556
YAK,359.50332333,-139.66026806
A67,959.41439583,-139.03372083
A68,959.55287083,-139.51022222
A69,959.24959722,-138.50416528
A57,959.19913333,-138.44587778
A77,63.00186806,-156.36736028
L20,665.31152083,-143.13411944
0J0,431.60172028,-85.23854472
2A8,34.21714167,-87.15815833
EET,933.17777778,-86.78322222
BFZ,234.22910889,-86.25575611
ALX,732.91475000,-85.96294444
AIV,633.10674444,-88.19717500
79J,831.30836111,-86.39222222
ANB,133.58817000,-85.85811500
26A,833.28419722,-85.80896528
0R1,131.01613889,-87.44675000
AUO,632.61511111,-85.43400000
1R8,30.87033333,-87.81933333
5R7,530.45525000,-88.21119444
EKY,533.31261111,-86.92630556
BHM,533.56388889,-86.75230556
12J,131.05071139,-87.06726667
09A,332.11930556,-88.12747222
61A,431.97975000,-87.33911111
PYP,934.08991667,-85.61008333
0A8,132.93693889,-87.09054722
5R1,331.45166689,-88.19442664
02A,32.85048447,-86.61143247
11A,831.88332444,-85.48522472
9A4,634.65815833,-87.34855806
15A,330.90913889,-87.99633333
CMD,134.26870250,-86.85803528
4R9,30.26048167,-88.12747306
DCU,34.65405556,-86.94536111
DYA,532.46383333,-87.95405556
DHN,831.32101806,-85.44947750
14J,931.41004167,-86.09033611
EDN,631.29972222,-85.89983333
EUF,531.95130556,-85.12891667
3A7,232.82041667,-87.86508333
GZH,831.41500000,-87.04336111
CQF,530.46050000,-87.87702778
