airport,runway,lat,lon,reciprocal,reciprocal_lat,reciprocal_lon
CHP,09,65.48785556,-144.62280833,27,65.48395833,-144.60056111
CHP,27,65.48395833,-144.60056111,09,65.48785556,-144.62280833
CLP,18,58.83784942,-158.52678939,36,58.82952103,-158.53199803
CLP,36,58.82952103,-158.53199803,18,58.83784942,-158.52678939
Z84,01,64.29586847,-149.12358108,19,64.30492756,-149.10950167
Z84,19,64.30492756,-149.10950167,01,64.29586847,-149.12358108
CDB,08,55.19921081,-162.73242522,26,55.19809514,-162.70905222
CDB,26,55.19809514,-162.70905222,08,55.19921081,-162.73242522
CDB,15,55.22236106,-162.73789542,33,55.19645633,-162.71991861
CDB,33,55.19645633,-162.71991861,15,55.22236106,-162.73789542
CXF,02,67.24753228,-150.21144761,20,67.25680892,-150.19636569
CXF,20,67.25680892,-150.19636569,02,67.24753228,-150.21144761
JLA,04,60.48260833,-149.72798889,22,60.48591944,-149.71781111
JLA,22,60.48591944,-149.71781111,04,60.48260833,-149.72798889
CDV,09,60.49671106,-145.49674711,27,60.48829142,-145.45882325
CDV,27,60.48829142,-145.45882325,09,60.49671106,-145.49674711
CDV,16,60.49094069,-145.47662536,34,60.48564917,-145.47674717
CDV,34,60.48564917,-145.47674717,16,60.49094069,-145.47662536
CKU,06,60.54340278,-145.73082778,24,60.54388611,-145.72088056
CKU,24,60.54388611,-145.72088056,06,60.54340278,-145.73082778
K29,10,64.89860000,-163.71211667,28,64.89489444,-163.69488056
K29,28,64.89489444,-163.69488056,10,64.89860000,-163.71211667
CJX,14,61.87520278,-158.14201667,32,61.86703333,-158.13389722
CJX,32,61.86703333,-158.13389722,14,61.87520278,-158.14201667
CJX,12,62.03658889,-158.24771667,30,62.02825556,-158.22475000
CJX,30,62.02825556,-158.22475000,12,62.03658889,-158.24771667
DCK,08,66.94374897,-156.90775342,26,66.94137386,-156.87498392
DCK,26,66.94137386,-156.87498392,08,66.94374897,-156.90775342
SCC,06,70.19245775,-148.49045825,24,70.19705044,-148.43987147
SCC,24,70.19705044,-148.43987147,06,70.19245775,-148.49045825
SCC,04,70.34012567,-150.96089436,22,70.34841814,-150.92859697
SCC,22,70.34841814,-150.92859697,04,70.34012567,-150.96089436
SCC,04,70.13388056,-147.04800556,22,70.14105278,-147.01286389
SCC,22,70.14105278,-147.01286389,04,70.13388056,-147.04800556
SCC,05,70.13374781,-146.30898550,23,70.13825661,-146.27106547
SCC,23,70.13825661,-146.27106547,05,70.13374781,-146.30898550
DEE,03,66.06520831,-162.77406975,21,66.07236561,-162.76033308
DEE,21,66.07236561,-162.76033308,03,66.06520831,-162.77406975
DEE,12,66.07169972,-162.77406453,30,66.06737797,-162.75966797
DEE,30,66.06737797,-162.75966797,12,66.07169972,-162.77406453
BIG,01,63.98637222,-145.73519722,19,63.98874444,-145.73211111
BIG,19,63.98874444,-145.73211111,01,63.98637222,-145.73519722
BIG,07,63.99146667,-145.73030833,25,63.99106389,-145.70506389
BIG,25,63.99106389,-145.70506389,07,63.99146667,-145.73030833
BIG,11,63.99971111,-145.73548611,29,63.99022222,-145.70413333
BIG,29,63.99022222,-145.70413333,11,63.99971111,-145.73548611
D66,07,64.05133056,-145.72976389,25,64.04890278,-145.71516667
D66,25,64.04890278,-145.71516667,07,64.05133056,-145.72976389
D66,K06,64.12814989,-145.81405897,24,64.12814500,-145.80279500
D66,24,64.12814500,-145.80279500,K06,64.12814989,-145.81405897
D66,K15,64.13416667,-145.80472222,33,64.12774178,-145.80472200
D66,33,64.12774178,-145.80472200,K15,64.13416667,-145.80472222
D66,06,64.04661389,-145.44145833,24,64.04681111,-145.43023333
D66,24,64.04681111,-145.43023333,06,64.04661389,-145.44145833
DLG,01,59.03683711,-158.51309181,19,59.05251078,-158.49793222
DLG,19,59.05251078,-158.49793222,01,59.03683711,-158.51309181
EAA,07,64.77830567,-141.16113061,25,64.77788239,-141.13808247
EAA,25,64.77788239,-141.13808247,07,64.77830567,-141.16113061
EEK,18,60.21807661,-162.04249278,36,60.20931864,-162.04531114
EEK,36,60.20931864,-162.04531114,18,60.21807661,-162.04249278
EII,03,58.18428889,-157.37510833,21,58.18694167,-157.36918056
EII,21,58.18694167,-157.36918056,03,58.18428889,-157.37510833
EII,12,58.19130278,-157.38568611,30,58.17961111,-157.36692778
EII,30,58.17961111,-157.36692778,12,58.19130278,-157.38568611
KEK,02,59.35331389,-157.47666111,20,59.36036389,-157.46561667
KEK,20,59.36036389,-157.46561667,02,59.35331389,-157.47666111
ELI,01,64.61091597,-162.27581761,19,64.61903358,-162.26526031
ELI,19,64.61903358,-162.26526031,01,64.61091597,-162.27581761
ENM,16,62.79242800,-164.49153492,34,62.77986753,-164.48996531
ENM,34,62.77986753,-164.48996531,16,62.79242800,-164.49153492
2Z3,08,64.04226997,-148.86607794,26,64.04195836,-148.86019267
2Z3,26,64.04195836,-148.86019267,08,64.04226997,-148.86607794
FBK,07,64.83741111,-147.64202500,25,64.83780833,-147.58695833
FBK,25,64.83780833,-147.58695833,07,64.83741111,-147.64202500
AK7,09,64.19989514,-147.93542122,27,64.19620539,-147.92178369
AK7,27,64.19620539,-147.92178369,09,64.19989514,-147.93542122
EIL,14,64.68420278,-147.11792222,32,64.64707500,-147.08496111
EIL,32,64.64707500,-147.08496111,14,64.68420278,-147.11792222
FAI,02,64.81605561,-147.84655550,20,64.82229567,-147.83507542
FAI,20,64.82229567,-147.83507542,02,64.81605561,-147.84655550
FAI,02R,64.80023933,-147.87562033,20L,64.80994700,-147.85778542
FAI,20L,64.80994700,-147.85778542,02R,64.80023933,-147.87562033
FAI,02W,64.81611219,-147.85460811,20W,64.82773192,-147.83323036
FAI,20W,64.82773192,-147.83323036,02W,64.81611219,-147.85460811
